Date : 2023-09-07 23:13:57
Directory : /Users/ralphcao/Git/USACO
Total : 1019 files,  45833 codes, 4236 comments, 7092 blanks, all 57161 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| CSES pset/Graph Algorithms                                                                                            |         32 |      1,828 |         28 |        244 |      2,100 |
| CSES pset/Introductory Problems                                                                                       |          2 |        161 |          2 |         25 |        188 |
| CSES pset/Mathematics                                                                                                 |         31 |      1,388 |         36 |        211 |      1,635 |
| CSES pset/Range Queries                                                                                               |         20 |      1,507 |         35 |        224 |      1,766 |
| CSES pset/Sorting and Searching                                                                                       |         36 |      1,318 |         43 |        223 |      1,584 |
| CSES pset/String Algorithms                                                                                           |         16 |      1,267 |         90 |        156 |      1,513 |
| CSES pset/Tree Algorithms                                                                                             |         17 |      1,186 |         13 |        187 |      1,386 |
| Codeforces contest                                                                                                    |        135 |      6,131 |        483 |      1,048 |      7,662 |
| Codeforces contest/10_16_20                                                                                           |          4 |        162 |         10 |         27 |        199 |
| Codeforces contest/10_24_20                                                                                           |          5 |        250 |         30 |         44 |        324 |
| Codeforces contest/10_3_21                                                                                            |          4 |        210 |          9 |         30 |        249 |
| Codeforces contest/11_28_20                                                                                           |          3 |         94 |          6 |         25 |        125 |
| Codeforces contest/12_19_22                                                                                           |          4 |        295 |         14 |         42 |        351 |
| Codeforces contest/1_5_20                                                                                             |          3 |        111 |         19 |         15 |        145 |
| Codeforces contest/1_8_23                                                                                             |          4 |        134 |         55 |         36 |        225 |
| Codeforces contest/4_11_21                                                                                            |          4 |        202 |         16 |         37 |        255 |
| Codeforces contest/4_29_23                                                                                            |          3 |        151 |          0 |         23 |        174 |
| Codeforces contest/4_6_23                                                                                             |          5 |        235 |          7 |         28 |        270 |
| Codeforces contest/4_8_23                                                                                             |          5 |        234 |          9 |         40 |        283 |
| Codeforces contest/4_9_23                                                                                             |          5 |        249 |          7 |         34 |        290 |
| Codeforces contest/5_12_23                                                                                            |          6 |        310 |         13 |         47 |        370 |
| Codeforces contest/5_14_23                                                                                            |          2 |        124 |         15 |         21 |        160 |
| Codeforces contest/5_2_21                                                                                             |          5 |        199 |          7 |         45 |        251 |
| Codeforces contest/6_12_22                                                                                            |          3 |        112 |         24 |         30 |        166 |
| Codeforces contest/6_16_22                                                                                            |          5 |        222 |         23 |         49 |        294 |
| Codeforces contest/6_6_21                                                                                             |          3 |        174 |         20 |         28 |        222 |
| Codeforces contest/7_11_17                                                                                            |          5 |        141 |          0 |         10 |        151 |
| Codeforces contest/7_11_20                                                                                            |          5 |        122 |          3 |         25 |        150 |
| Codeforces contest/7_29_21                                                                                            |          3 |         89 |         13 |         22 |        124 |
| Codeforces contest/7_4_20                                                                                             |          4 |        146 |          2 |         23 |        171 |
| Codeforces contest/8_15_21                                                                                            |          5 |        289 |         25 |         47 |        361 |
| Codeforces contest/8_16_20                                                                                            |          4 |        134 |         13 |         22 |        169 |
| Codeforces contest/8_29_21                                                                                            |          4 |        181 |         31 |         34 |        246 |
| Codeforces contest/9_12_20                                                                                            |          3 |        165 |          6 |         29 |        200 |
| Codeforces contest/9_19_20                                                                                            |          7 |        254 |          2 |         39 |        295 |
| Codeforces contest/9_24_20                                                                                            |          5 |        305 |         37 |         60 |        402 |
| Codeforces contest/9_30_20                                                                                            |          5 |        217 |          3 |         37 |        257 |
| Codeforces contest/9_5_21                                                                                             |          5 |        280 |         49 |         50 |        379 |
| Codeforces contest/9_6_22                                                                                             |          4 |        187 |         12 |         28 |        227 |
| Codeforces contest/9_8_20                                                                                             |          3 |        153 |          3 |         21 |        177 |
| DA Club                                                                                                               |         18 |        980 |         50 |        158 |      1,188 |
| EVC Club                                                                                                              |          3 |         16 |          0 |          4 |         20 |
| Google contest                                                                                                        |         60 |      3,530 |        610 |        610 |      4,750 |
| Google contest/Kick Start 2020                                                                                        |          9 |        444 |         49 |         69 |        562 |
| Google contest/Kick Start 2020/11-14-20 Kick Start Round H                                                            |          4 |        193 |         14 |         34 |        241 |
| Google contest/Kick Start 2020/8-22-20 Kick Start Round E                                                             |          5 |        251 |         35 |         35 |        321 |
| Google contest/Kick Start 2021                                                                                        |         31 |      1,766 |        345 |        315 |      2,426 |
| Google contest/Kick Start 2021/10-16-21 Kick Start Round G                                                            |          4 |        198 |         27 |         32 |        257 |
| Google contest/Kick Start 2021/3-20-21 Kick Start Round A                                                             |          4 |        261 |         24 |         43 |        328 |
| Google contest/Kick Start 2021/4-18-21 Kick Start Round B                                                             |          3 |        170 |         17 |         26 |        213 |
| Google contest/Kick Start 2021/5-23-21 Kick Start Round C                                                             |          7 |        464 |        147 |         75 |        686 |
| Google contest/Kick Start 2021/7-10-21 Kick Start Round D                                                             |          5 |        217 |         10 |         46 |        273 |
| Google contest/Kick Start 2021/8-21-21 Kick Start Round E                                                             |          4 |        192 |         36 |         40 |        268 |
| Google contest/Kick Start 2021/9-18-21 Kick Start Round F                                                             |          4 |        264 |         84 |         53 |        401 |
| Google contest/Kick Start 2022                                                                                        |         20 |      1,320 |        216 |        226 |      1,762 |
| Google contest/Kick Start 2022/11-11-22 Round H                                                                       |          5 |        302 |         59 |         49 |        410 |
| Google contest/Kick Start 2022/5-22-22 Round C                                                                        |          4 |        234 |         54 |         47 |        335 |
| Google contest/Kick Start 2022/7-9-22 Round D                                                                         |          4 |        275 |         18 |         49 |        342 |
| Google contest/Kick Start 2022/8-20-22 Round E                                                                        |          4 |        290 |         56 |         40 |        386 |
| Google contest/Kick Start 2022/9-18-22 Round F                                                                        |          3 |        219 |         29 |         41 |        289 |
| Misc. contest                                                                                                         |         50 |      2,656 |        272 |        369 |      3,297 |
| Misc. contest/CMIMC 2021                                                                                              |          3 |        288 |         18 |         36 |        342 |
| Misc. contest/CMIMC 2021/Liveshare test                                                                               |          1 |         15 |          0 |          0 |         15 |
| Misc. contest/CMIMC 2021/optimization                                                                                 |          2 |        273 |         18 |         36 |        327 |
| Misc. contest/CMIMC 2021/optimization/robot_recovery                                                                  |          1 |        190 |          6 |         22 |        218 |
| Misc. contest/CMIMC 2021/optimization/unique_products                                                                 |          1 |         83 |         12 |         14 |        109 |
| Misc. contest/Codequest 2021                                                                                          |          6 |        278 |         21 |         49 |        348 |
| Misc. contest/Codequest 2022                                                                                          |          6 |        322 |         72 |         60 |        454 |
| Misc. contest/ICPC Practice                                                                                           |         18 |      1,099 |        102 |        138 |      1,339 |
| Misc. contest/ICPC Practice (Files)                                                                                   |          6 |        336 |         54 |         53 |        443 |
| Misc. contest/ICPC Practice/Div1BaselineProblems                                                                      |         12 |        763 |         48 |         85 |        896 |
| Misc. contest/ICPC Practice/Div1BaselineProblems (Files)                                                              |          3 |        135 |          0 |         24 |        159 |
| Misc. contest/ICPC Practice/Div1BaselineProblems/2011_SpeedRacer                                                      |          2 |         97 |         28 |          8 |        133 |
| Misc. contest/ICPC Practice/Div1BaselineProblems/2013_Escape                                                          |          2 |        157 |          0 |         10 |        167 |
| Misc. contest/ICPC Practice/Div1BaselineProblems/2014_Wormhole                                                        |          5 |        374 |         20 |         43 |        437 |
| Misc. contest/Teamscode 2020                                                                                          |          7 |        203 |         10 |         36 |        249 |
| Misc. contest/UCUP                                                                                                    |         10 |        466 |         49 |         50 |        565 |
| Misc. contest/UCUP/3_25_2023                                                                                          |          3 |        196 |          5 |         21 |        222 |
| Misc. contest/UCUP/4_1_2023                                                                                           |          7 |        270 |         44 |         29 |        343 |
| NAPC                                                                                                                  |         23 |      1,080 |         91 |        135 |      1,306 |
| NAPC/NAPC Training 1                                                                                                  |          7 |        203 |         16 |         47 |        266 |
| NAPC/NAPC Training 1 (Files)                                                                                          |          1 |          9 |          0 |          0 |          9 |
| NAPC/NAPC Training 1/A                                                                                                |          1 |          7 |          0 |          2 |          9 |
| NAPC/NAPC Training 1/B                                                                                                |          1 |         48 |         10 |         10 |         68 |
| NAPC/NAPC Training 1/C                                                                                                |          1 |         46 |          0 |         22 |         68 |
| NAPC/NAPC Training 1/E                                                                                                |          2 |         70 |          6 |         10 |         86 |
| NAPC/NAPC Training 1/H                                                                                                |          1 |         23 |          0 |          3 |         26 |
| NAPC/NAPC Training 2                                                                                                  |          8 |        409 |         22 |         40 |        471 |
| NAPC/NAPC Training 2 (Files)                                                                                          |          1 |          9 |          0 |          0 |          9 |
| NAPC/NAPC Training 2/B                                                                                                |          1 |         59 |          1 |          1 |         61 |
| NAPC/NAPC Training 2/C                                                                                                |          1 |         70 |          6 |         14 |         90 |
| NAPC/NAPC Training 2/E                                                                                                |          2 |         33 |          3 |          3 |         39 |
| NAPC/NAPC Training 2/F                                                                                                |          1 |        113 |          4 |         12 |        129 |
| NAPC/NAPC Training 2/G                                                                                                |          1 |         88 |          8 |          3 |         99 |
| NAPC/NAPC Training 2/H                                                                                                |          1 |         37 |          0 |          7 |         44 |
| NAPC/NSA                                                                                                              |          8 |        468 |         53 |         48 |        569 |
| NAPC/NSA/A                                                                                                            |          1 |         28 |          0 |          7 |         35 |
| NAPC/NSA/B                                                                                                            |          1 |         77 |         17 |          8 |        102 |
| NAPC/NSA/C                                                                                                            |          2 |         88 |          6 |         13 |        107 |
| NAPC/NSA/D                                                                                                            |          2 |         69 |         16 |          5 |         90 |
| NAPC/NSA/E                                                                                                            |          2 |        206 |         14 |         15 |        235 |
| USACO contest                                                                                                         |         47 |      2,255 |        290 |        366 |      2,911 |
| USACO contest/2018-19                                                                                                 |         15 |        673 |         59 |         61 |        793 |
| USACO contest/2018-19/2018-19 1 Silver                                                                                |          4 |        220 |         36 |         20 |        276 |
| USACO contest/2018-19/2018-19 2 Gold                                                                                  |          3 |        166 |         21 |         14 |        201 |
| USACO contest/2018-19/2018-19 2 Silver                                                                                |          4 |        161 |          1 |         15 |        177 |
| USACO contest/2018-19/2018-19 3 Gold                                                                                  |          3 |         55 |          0 |          8 |         63 |
| USACO contest/2018-19/2018-19 4 Gold                                                                                  |          1 |         71 |          1 |          4 |         76 |
| USACO contest/2019-20                                                                                                 |         16 |        679 |         80 |        141 |        900 |
| USACO contest/2019-20/2019-20 1 Gold                                                                                  |          2 |        131 |          9 |         24 |        164 |
| USACO contest/2019-20/2019-20 2 Gold                                                                                  |          4 |        162 |         16 |         36 |        214 |
| USACO contest/2019-20/2019-20 3 Gold                                                                                  |          6 |        207 |         13 |         50 |        270 |
| USACO contest/2019-20/2019-20 4 Gold                                                                                  |          4 |        179 |         42 |         31 |        252 |
| USACO contest/2020-21                                                                                                 |         13 |        794 |         86 |        143 |      1,023 |
| USACO contest/2020-21/2020-21 1 Gold                                                                                  |          3 |        136 |         19 |         25 |        180 |
| USACO contest/2020-21/2020-21 2 Gold                                                                                  |          3 |        185 |         25 |         39 |        249 |
| USACO contest/2020-21/2020-21 3 Gold                                                                                  |          2 |        122 |          5 |         19 |        146 |
| USACO contest/2020-21/2020-21 4 Gold                                                                                  |          4 |        301 |         36 |         50 |        387 |
| USACO contest/2020-21/2020-21 4 Platinum                                                                              |          1 |         50 |          1 |         10 |         61 |
| USACO contest/2021-22                                                                                                 |          3 |        109 |         65 |         21 |        195 |
| USACO contest/2021-22/1 Platinum                                                                                      |          2 |        109 |         65 |         19 |        193 |
| USACO contest/2021-22/2 Platinum                                                                                      |          1 |          0 |          0 |          2 |          2 |
| USACO practice                                                                                                        |         50 |      2,001 |        225 |        336 |      2,562 |
| codebits                                                                                                              |         41 |      2,577 |        299 |        430 |      3,306 |
| codebits (Files)                                                                                                      |          1 |          8 |          0 |          3 |         11 |
| codebits/Data Structures                                                                                              |         10 |        714 |        170 |        115 |        999 |
| codebits/Data Structures (Files)                                                                                      |          4 |        138 |         15 |         28 |        181 |
| codebits/Data Structures/segtree                                                                                      |          6 |        576 |        155 |         87 |        818 |
| codebits/Geometry                                                                                                     |          5 |        262 |         28 |         61 |        351 |
| codebits/Graph                                                                                                        |          1 |         62 |          0 |          8 |         70 |
| codebits/Math                                                                                                         |         11 |        783 |         78 |        123 |        984 |
| codebits/Math (Files)                                                                                                 |          6 |        304 |         32 |         53 |        389 |
| codebits/Math/fft                                                                                                     |          5 |        479 |         46 |         70 |        595 |
| codebits/String                                                                                                       |          9 |        447 |         20 |         79 |        546 |
| codebits/Tree                                                                                                         |          4 |        301 |          3 |         41 |        345 |
| teach                                                                                                                 |         32 |      1,173 |        435 |        284 |      1,892 |
| teach (Files)                                                                                                         |         26 |      1,064 |        165 |        225 |      1,454 |
| teach/aborn                                                                                                           |          6 |        109 |        270 |         59 |        438 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Codeforces stuff.cpp                                        | C++                |         17 |          0 |          2 |         19 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 1.cpp                                 | C++                |         20 |         10 |          4 |         34 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 10.cpp                                | C++                |         15 |          9 |          3 |         27 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 11.cpp                                | C++                |         25 |          7 |          4 |         36 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 11.pp.c                               | C                  |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 12.cpp                                | C++                |         13 |          8 |          2 |         23 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 2.cpp                                 | C++                |         15 |         10 |          4 |         29 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 3.cpp                                 | C++                |         18 |         11 |          4 |         33 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 4.cpp                                 | C++                |         17 |         12 |          4 |         33 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 5.cpp                                 | C++                |         18 |         11 |          6 |         35 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 6.cpp                                 | C++                |         14 |         12 |          4 |         30 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 7.cpp                                 | C++                |         16 |         14 |          5 |         35 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 8.cpp                                 | C++                |         14 |         11 |          4 |         29 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug 9.cpp                                 | C++                |         14 |          9 |          2 |         25 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Debug/Debug.cpp                                   | C++                |         20 |         10 |          4 |         34 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 1_4.cpp                                  | C++                |         10 |          0 |          2 |         12 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 1_5.cpp                                  | C++                |         13 |          0 |          2 |         15 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 2_5.cpp                                  | C++                |          8 |          0 |          2 |         10 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 2_6.cpp                                  | C++                |          9 |          0 |          3 |         12 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 2_7.cpp                                  | C++                |          9 |          0 |          2 |         11 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 2_8.cpp                                  | C++                |         10 |          0 |          2 |         12 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3.11.cpp                                 | C++                |         28 |          0 |          2 |         30 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_10.cpp                                 | C++                |         19 |          0 |          2 |         21 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_11.cpp                                 | C++                |         28 |          0 |          2 |         30 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_12.cpp                                 | C++                |         20 |          0 |          4 |         24 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_13.cpp                                 | C++                |         24 |          0 |          2 |         26 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_6.cpp                                  | C++                |         11 |          0 |          2 |         13 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_7.cpp                                  | C++                |         17 |          0 |          2 |         19 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_8.cpp                                  | C++                |         19 |          0 |          2 |         21 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 3_9.cpp                                  | C++                |          8 |          0 |          2 |         10 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_10.cpp                                 | C++                |         14 |          0 |          3 |         17 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_11.cpp                                 | C++                |         15 |          0 |          3 |         18 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_13.cpp                                 | C++                |          9 |          0 |          2 |         11 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_14.cpp                                 | C++                |          9 |          0 |          2 |         11 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_15.cpp                                 | C++                |          0 |          0 |          2 |          2 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_18.cpp                                 | C++                |         17 |          0 |          3 |         20 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_8.cpp                                  | C++                |         12 |          0 |          2 |         14 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 4_9.cpp                                  | C++                |         12 |          0 |          3 |         15 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 5_1.cpp                                  | C++                |         13 |          0 |          2 |         15 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 5_3.cpp                                  | C++                |         13 |          0 |          2 |         15 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 5_4.cpp                                  | C++                |         13 |          0 |          2 |         15 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 5_5.cpp                                  | C++                |         17 |          0 |          2 |         19 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Exercise 5_6.cpp                                  | C++                |          6 |          0 |          2 |          8 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam.cpp                         | C++                |         21 |          0 |          2 |         23 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam1.cpp                        | C++                |         11 |          0 |          2 |         13 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam10.cpp                       | C++                |         87 |          0 |          2 |         89 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam2.cpp                        | C++                |          9 |          0 |          2 |         11 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam3.cpp                        | C++                |         12 |          0 |          2 |         14 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam4.cpp                        | C++                |         14 |          0 |          2 |         16 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam5.cpp                        | C++                |         16 |          0 |          2 |         18 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam6.cpp                        | C++                |         11 |          0 |          2 |         13 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam7.cpp                        | C++                |         11 |          0 |          2 |         13 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam8.cpp                        | C++                |         16 |          0 |          2 |         18 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Final Exam/final exam9.cpp                        | C++                |         16 |          0 |          1 |         17 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Matchstick Game.cpp                               | C++                |         25 |          0 |          4 |         29 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Problem Set Asterisk 1.cpp                        | C++                |         17 |          0 |          2 |         19 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Problem Set Asterisk 2.cpp                        | C++                |         17 |          0 |          2 |         19 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Problem Set Asterisk 3.cpp                        | C++                |         21 |          0 |          3 |         24 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Problem Set Asterisk 4.cpp                        | C++                |         21 |          0 |          4 |         25 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Problem Set Asterisk 5.cpp                        | C++                |         21 |          0 |          2 |         23 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Problem Set Asterisk 6.cpp                        | C++                |         21 |          0 |          4 |         25 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/Problem Set Asterisk 7.cpp                        | C++                |         31 |          0 |          3 |         34 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/USACO problems/USACO angry.cpp                    | C++                |         60 |          0 |          2 |         62 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/USACO problems/USACO badmilk.cpp                  | C++                |         40 |          1 |          2 |         43 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/USACO problems/USACO balancing.cpp                | C++                |         51 |          0 |          2 |         53 |
| /Users/ralphcao/Git/USACO/AStar/A-star USACO bronze files/Exercises/USACO problems/USACO bcs.cpp                      | C++                |         12 |          0 |          2 |         14 |
